pid,pname,pcategory,purchaseprice,saleprice,pstock,pdescription,pimage,profit,barcode,status,sold,withdraw,stockup,stockout,supplier,stkprice,wholeprice,last_update,last_wupdate,expiry_date,is_promo
540,INSTA360 FLOATING HAND GRIP ( NEW VERSION )*,INSTA360,31,59,11,"","",28,DCP-540,"",151,"0","0","0",8,"0","0","","","","0"
541,INSTA360 HAND MOUNT BUNDLE ,INSTA360,106,139,3,"","",33,DCP-541,"","0","0","0","0",10,"0","0","","","","0"
542,INSTA360 GO3S WHITE ( 64 GB ) ,INSTA360,1600,1969,"0","","",369,DCP-542,"",25,"0","0","0",10,"0","0","","","","0"
543,INSTA360 GO3S WHITE ( 128 GB ) ,INSTA360,1700,2099,1,"","",399,DCP-543,"",132,"0","0","0",10,"0","0","","","","0"
544,INSTA360 GO3S BLACK ( 64 GB ) ,INSTA360,1600,1969,"0","","",369,DCP-544,"",46,"0","0","0",10,"0","0","","","","0"
545,INSTA360 GO3S BLACK ( 128 GB ) ,INSTA360,1700,2099,1,"","",399,DCP-545,"",124,"0","0","0",10,"0","0","","","","0"
546,INSTA360 GO 3 / 3S CARRY CASE,INSTA360,70,99,2,"","",29,DCP-546,"",37,"0","0","0",10,"0","0","","","","0"
547,INSTA360 GO 3 / 3S SCREEN PROTECTOR ,INSTA360,35,50,1,"","",15,DCP-547,"",1,"0","0","0",10,"0","0","","","","0"
548,QUICK RELEASE BASIC BUCKLE WITH SCREW,ACCESSORIES,1,4.99,"0","","",3.99,DCP-548,"",5,"0","0","0",8,"0","0","","","","0"
549,X4 PREMIUM LENS GUARD ( OEM ) ,ACCESSORIES,45,99,6,"","",54,DCP-549,"",92,"0","0","0",8,"0","0","","","","0"
550,X4 STANDARD LENS GUARD ( OEM ) ,ACCESSORIES,22,50,18,"","",28,DCP-550,"",44,"0","0","0",8,"0","0","","","","0"
551,X4 HORIZONTAL BRACKET ( OEM ) ,ACCESSORIES,31,80,1,"","",49,DCP-551,"",9,"0","0","0",8,"0","0","","","","0"
552,X4 FAST CHARGE HUB ( OEM ) ,ACCESSORIES,26,70,2,"","",44,DCP-552,"",58,"0","0","0",8,"0","0","","","","0"
553,INSTA360 GPS ACTION REMOTE ,INSTA360,265,349,"0","","",84,DCP-553,"",2,"0","0","0",10,"0","0","","","","0"
554,INSTA360 ACE PRO SCREEN PROTECTOR*,INSTA360,25,50,"0","","",25,DCP-554,"",12,"0","0","0",8,"0","0","","","","0"
555,INSTA360 ACE / ACE PRO / ACE PRO 2 FLOAT GUARD*,INSTA360,46,99,"0","","",53,DCP-555,"",26,"0","0","0",8,"0","0","","","","0"
556,SANDISK EXTREME 128GB*,SANDISK,50,95,34,"","",45,DCP-556,"",488,"0","0","0",8,"0","0","","","","0"
557,INSTA360 GO 3S LENS GUARD,INSTA360,70,99,1,"","",29,DCP-557,"",7,"0","0","0",10,"0","0","","","","0"
558,INSTA360 GO3 / GO3S MAGNET PENDANT SAFETY CORD ( BLACK ) ,INSTA360,20,35,"0","","",15,DCP-558,"",10,"0","0","0",10,"0","0","","","","0"
559,INSTA360 GO3 / GO3S VERTICAL & HORIZONTAL ACTION MOUNT SET,INSTA360,35,50,1,"","",15,DCP-559,"",11,"0","0","0",10,"0","0","","","","0"
560,INSTA360 GO 3 / 3S QUICK READER,INSTA360,155,229,6,"","",74,DCP-560,"",86,"0","0","0",10,"0","0","","","","0"
561,INSTA360 GO3S MIC WIND MUFF,INSTA360,35,49,"0","","",14,DCP-561,"",2,"0","0","0",10,"0","0","","","","0"
562,INSTA360 GO3S ND FILTER SET,INSTA360,208,309,1,"","",101,DCP-562,"",11,"0","0","0",10,"0","0","","","","0"
563,INSTA360 GO 3 / 3S DIVE CASE,INSTA360,208,309,"0","","",101,DCP-563,"",19,"0","0","0",10,"0","0","","","","0"
564,INSTA360 MULTI MOUNT*,INSTA360,145,229,7,"","",84,DCP-564,"",34,"0","0","0",8,"0","0","","","","0"
