pid,pname,pcategory,purchaseprice,saleprice,pstock,pdescription,pimage,profit,barcode,status,sold,withdraw,stockup,stockout,supplier,stkprice,wholeprice,last_update,last_wupdate,expiry_date,is_promo
158,DJI NEO MOTOR,DJI,"0",25,5,"","",25,DCP-158,"",7,"0","0","0",10,"0","0","","","","0"
159,DJI MINI 2 GIMBAL ARM WITH PTZ CABLE,DJI,250,450,"0","","",200,DCP-159,"",1,"0","0","0",9,"0","0","","","","0"
160,DJI MAVIC 2 CONTROLLER BATTERY,DJI,30,180,"0","","",150,DCP-160,"",8,"0","0","0",9,"0","0","","","","0"
161,DJI PHANTOM 4 GIMBAL CAMERA,DJI,300,500,"0","","",200,DCP-161,"",1,"0","0","0",8,"0","0","","","","0"
162,DJI NEO CAMERA SENSOR,DJI,50,100,"0","","",50,DCP-162,"",1,"0","0","0",9,"0","0","","","","0"
163,REPLACE SMART CONTROLLER BATTERIES,DJI,350,380,"0","","",30,DCP-163,"",2,"0","0","0",9,"0","0","","","","0"
164,DJI MAVIC AIR 2S REAR LEFT ARM,DJI,100,220,2,"","",120,DCP-164,"",4,"0","0","0",9,"0","0","","","","0"
165,DJI MAVIC PRO GIMBAL ABSORBING BAORD,DJI,40,80,"0","","",40,DCP-165,"",6,"0","0","0",10,"0","0","","","","0"
166,REPLACE DJI MAVIC AIR BATTERY CELLS ( 4 MONTHS WARRANTY ),DJI,150,230,"0","","",80,DCP-166,"",14,"0","0","0",9,"0","0","","","","0"
167,DJI PHANTOM 4 PRO V2.0 GIMBAL RIBBON CABLE,DJI,120,280,"0","","",160,DCP-167,"",4,"0","0","0",10,"0","0","","","","0"
168,DJI PHANTOM 4 PRO GIMBAL YAW ARM ,DJI,50,180,"0","","",130,DCP-168,"",2,"0","0","0",8,"0","0","","","","0"
169,DJI MAVIC AIR 2 REAR LEFT ARM,DJI,90,220,2,"","",130,DCP-169,"",5,"0","0","0",10,"0","0","","","","0"
170,DJI MAVIC AIR 2/2S HINGE COVER ,DJI,10,70,12,"","",60,DCP-170,"",5,"0","0","0",9,"0","0","","","","0"
171,DJI MAVIC AIR FRONT LEFT ARM,DJI,85,150,"0","","",65,DCP-171,"",2,"0","0","0",8,"0","0","","","","0"
172,DJI MAVIC AIR FRONT RIGHT ARM,DJI,85,150,"0","","",65,DCP-172,"",2,"0","0","0",8,"0","0","","","","0"
173,DJI MAVIC AIR GIMBAL ARM WITH PTZ CABLE,DJI,"0",350,"0","","",350,DCP-173,"",1,"0","0","0",9,"0","0","","","","0"
174,DJI MAVIC AIR 3 / 3S PTZ CABLE,DJI,34,380,"0","","",346,DCP-174,"","0","0","0","0",8,"0","0","","","","0"
175,DJI AIR 3 FRONT LEFT ARM ,DJI,190,330,4,"","",140,DCP-175,"",1,"0","0","0",10,"0","0","","","","0"
176,DJI AIR 3 FRONT RIGHT ARM ,DJI,190,330,2,"","",140,DCP-176,"",1,"0","0","0",10,"0","0","","","","0"
177,DJI AIR 3 REAR LEFT ARM,DJI,170,320,"0","","",150,DCP-177,"",1,"0","0","0",10,"0","0","","","","0"
178,DJI AIR 3 REAR RIGHT ARM ,DJI,170,320,3,"","",150,DCP-178,"",3,"0","0","0",10,"0","0","","","","0"
179,DJI MAVIC 3 PRO REAR LEFT ARM,DJI,200,350,"0","","",150,DCP-179,"",1,"0","0","0",10,"0","0","","","","0"
180,DJI MAVIC 3 SERIES REAR RIGHT ARM,DJI,200,380,2,"","",180,DCP-180,"",2,"0","0","0",10,"0","0","","","","0"
181,DJI MAVIC AIR 2 / 2S COOLING FAN,DJI,80,130,1,"","",50,DCP-181,"",2,"0","0","0",10,"0","0","","","","0"
182,DJI MAVIC AIR 2 FRONT RIGHT ARM,DJI,120,250,1,"","",130,DCP-182,"",3,"0","0","0",10,"0","0","","","","0"
183,DJI AIR 3 / 3S POWER CABLE ,DJI,25,90,"0","","",65,DCP-183,"","0","0","0","0",8,"0","0","","","","0"
184,DJI AIR 3 ESC BOARD,DJI,225,390,1,"","",165,DCP-184,"",1,"0","0","0",8,"0","0","","","","0"
185,DJI AIR 3 GPS BOARD,DJI,240,380,"0","","",140,DCP-185,"","0","0","0","0",8,"0","0","","","","0"
186,DJI AIR 3 IMU ,DJI,55,130,"0","","",75,DCP-186,"","0","0","0","0",8,"0","0","","","","0"
187,DJI AIR 3 C ARM ,DJI,105,310,"0","","",205,DCP-187,"","0","0","0","0",8,"0","0","","","","0"
188,DJI AIR 3 YAW ARM,DJI,105,280,"0","","",175,DCP-188,"","0","0","0","0",8,"0","0","","","","0"
189,DJI MAVIC 2 PRO GIMBAL YAW MOTOR ,DJI,30,450,"0","","",420,DCP-189,"",1,"0","0","0",9,"0","0","","","","0"
190,REPLACE DJI MINI 2 BATTERY CELLS ( 4 MONTHS WARRANTY ),DJI,90,160,"0","","",70,DCP-190,"",13,"0","0","0",9,"0","0","","","","0"
